n_grads,mean_grad_norm,std_grad_norm
5000,1.8797053259736247,1.719470062168652
5000,1.838090548643826,1.774280389348182
5000,1.8222530031221278,1.4362000547504667
5000,1.8617733438421256,1.7010850509544824
5000,1.6662116972692351,1.4666339155675912
5000,1.9629373059217705,1.550516470966421
5000,1.6565986974776268,1.631598233688495
5000,2.2483091812596046,2.092570087538213
5000,1.9713138272351927,1.756274782469359
5000,1.4726107731899458,1.4424476479417936
5000,1.8152227433501478,1.7512327454215733
5000,1.999611549758608,1.7695408067219298
5000,1.9808905047680783,1.8391452156924173
5000,1.8137373207658216,1.6475553330430162
5000,1.8060302208639492,1.8513470257648037
5000,1.7128969824726463,1.599443348459786
5000,1.8600219435184893,1.8689757898697295
5000,1.8659708036423377,1.6322833601350877
5000,2.1949112599790306,2.066645171057256
5000,2.162455241668004,1.7857867149504634
5000,2.096291089393058,2.0463331009417653
5000,1.8847605569339378,1.6790610152152639
5000,1.670528608683808,1.4512674799178353
5000,1.7865211436635684,1.7148372011645265
5000,1.8781501393265156,1.5678415973951734
5000,1.9655317785798407,1.8909459839068086
5000,1.8399459538217928,1.4778312839417043
5000,1.9451709597233127,1.7172264977540435
5000,1.9392267595145412,1.6494071739260037
5000,2.005051455722583,2.0525351195563077
5000,1.7338376913661788,1.661008740321548
5000,1.8787788832034618,1.8481260097683467
5000,1.8349558357644455,1.9027383584307227
5000,1.9327304018912517,1.7800702925146017
5000,1.8844670028220223,1.6223381761420135
5000,1.8971320307553403,1.8057985678288566
5000,2.4046419065215785,2.6060402589868334
5000,1.895223257700303,1.6797594822406232
5000,1.9462355226945467,1.5987780578324147
5000,1.7959716803143937,1.485916462610239
5000,1.7025006478990865,1.6744431346049582
5000,1.918677391394863,2.0172738780762907
5000,2.7049604501372246,2.383448506691046
5000,2.0949720406440675,1.8097169715192212
5000,1.692074993409803,1.7211719525980942
5000,3.1190725075623,2.6645712874400083
5000,1.9346834212916988,1.7286769207399761
5000,1.8230545471360586,1.8897383722755134
5000,1.7513139777755844,1.6098352335951258
5000,2.1196709451814093,2.0568473219982835
5000,1.8136392604302014,1.505967286112814
5000,2.0580742335537354,1.873985538876501
5000,1.8831387792182501,1.4741957813822504
5000,1.7588458325426952,1.4782634858571104
5000,1.7252795563946972,1.69797881609703
5000,1.6655686644530887,1.5801698909092765
5000,1.8862556861379334,1.2856345691273583
5000,1.7033237888041335,1.2646891991945093
5000,1.7866972092128235,1.6773201937013134
5000,1.7869981862530826,1.5938987794195763
5000,2.2081030173945955,2.3073255386783638
5000,2.2898090447875057,2.3560429266972216
5000,1.681389948640822,1.5071171245232715
5000,1.6988422726796133,1.7330623481600214
5000,1.8264883273627497,1.6226317116105158
5000,1.9149632439349151,1.7433340813845337
5000,2.0941876775130557,2.2097836496540815
5000,1.8817343463240592,1.9650548273156028
5000,1.848925716626837,1.8494481575523507
5000,1.7921343882324903,1.8644808038855691
5000,2.0543391687979495,1.8848939773532694
5000,2.004226772890594,1.7917213217602754
5000,2.1222395267776344,2.0356263575442193
5000,2.0277062135094077,1.647315932107352
5000,1.948549122648665,1.5194994921947669
5000,2.3922187224845546,1.9214995716117547
5000,1.799881983728664,1.7579369537964133
5000,2.2670376933450673,1.8539241667194408
5000,2.1533705937526975,1.975946160212308
5000,2.2409562009543524,2.264291665017312
5000,2.0142757248298166,1.7242244720573874
5000,1.7276402804460056,1.738418546139585
5000,1.8642125772414493,1.7940411176283404
5000,2.520450049321507,2.299547431847735
5000,1.8804647641875971,1.8718843356784995
5000,1.886842297458339,1.7653562854153009
5000,2.5432931169291866,2.3234165517716208
5000,1.6499863990759789,1.5649882142956437
5000,2.3089000750547704,2.2416678173822224
5000,1.8067120467162996,1.9465930897344474
5000,2.3216444364726145,1.9969795988486316
5000,1.829992792904437,1.7424684071786714
5000,1.908467766250776,1.7129117091327357
5000,1.7792767828098364,1.5447188112712136
5000,3.1422519760798675,3.109020718136452
5000,1.8002877439864118,1.727576257263979
5000,1.5475507344694712,1.458302435600987
5000,1.7770280449028992,1.6554397060576274
5000,2.3748067656628344,1.8937448406636042
5000,1.7734972178029638,1.4911529595571977
