n_grads,mean_part,std_part
5000,0.005938689923286438,0.19285542346052195
5000,0.003210121548175812,0.3167860515305568
5000,0.0026073160767555235,0.24777707139862823
5000,-0.0022965468525886538,0.2125148237232238
5000,0.002080761468410492,0.16208130106033128
5000,0.0029844335198402406,0.1891586758848177
5000,0.006242925125360489,0.29002377172787824
5000,-0.0023237692475318907,0.20713268113385577
5000,-0.00141747008562088,0.2126381686905561
5000,-0.0021887795090675356,0.24795782869000652
5000,-0.002054937505722046,0.21605598744520954
5000,-0.0027566637814044953,0.49621960153656847
5000,-0.0016113118410110473,0.27117099670360006
5000,0.0017315340876579285,0.31215969316615444
5000,0.0035980669021606444,0.3299147425620839
5000,-0.0019903107285499573,0.1574085532899745
5000,0.002911080366373062,0.6083321867258478
5000,-0.00035241193771362307,0.21190244762600569
5000,0.00558558292388916,0.22224364874387706
5000,0.0005461313843727112,0.25589102217868587
5000,0.0006629850447177887,0.23922735849939367
5000,0.00036264508962631227,0.2265968760174558
5000,-0.005057791066169739,0.18658075873059052
5000,0.001584171462059021,0.26973783752341396
5000,0.004170429182052612,0.3035689353043504
5000,0.013414729660749435,0.48850265222784967
5000,0.0024793057918548584,0.24585129390199728
5000,-0.000291411691904068,0.253476643726131
5000,0.0022443458914756776,0.17244568605546773
5000,-0.002846243977546692,0.1570877898276086
5000,0.0049657560586929324,0.1929661357138044
5000,-0.006276932948827744,0.24241011586727482
5000,-0.0006344228029251099,0.21118383802887386
5000,0.0012031245470046996,0.20186848421151027
5000,-0.003909814190864563,0.19693056229288985
5000,-0.0012969887733459472,0.1654291101770458
5000,-0.003501645791530609,0.24376783038857938
5000,0.003778937590122223,0.25410493598403866
5000,-0.0037857719898223875,0.17393511292179303
5000,-0.0008435452699661255,0.18472758101467
5000,-0.004411898291110992,0.19670178924997728
5000,-0.0014739056587219238,0.18466366674953924
5000,-0.0013605884075164796,0.23641691679714952
5000,0.00325180943608284,0.26152082497747225
5000,-0.001726345694065094,0.22195262268526664
5000,-0.0002828322410583496,0.17881132518624734
5000,0.0009509161710739136,0.23707535089098578
5000,0.0020545174360275266,0.22557298205922677
5000,-0.0007403565287590027,0.17593193032648918
5000,-0.0016502949237823486,0.1824804243207304
5000,0.0012799471974372864,0.20447573412022818
5000,-0.0037932207107543945,0.19806315580729675
5000,0.0030855763792991637,0.22232612339477623
5000,-0.0013633069396018981,0.2036603797696604
5000,0.0036240313291549683,0.2073277153522633
5000,0.0038889594793319704,0.27117017282345013
5000,-0.0027878626227378846,0.5276082694231918
5000,0.00498244377374649,0.22249229717455357
5000,0.0031371538817882537,0.48657193900337065
5000,-0.004413248705863953,0.3216000281395234
