n_grads,mean_grad_norm,std_grad_norm
5000,0.8690859933659237,0.5055648982140329
5000,1.0947926088750701,0.5241307307879146
5000,1.055336375437682,0.4425333720229726
5000,0.8701184790180189,0.36190818624015625
5000,0.7853372557870771,0.42793182582683503
5000,0.9027626155497958,0.3839306743050935
5000,0.995411718780975,0.4830832075117747
5000,0.9242450784470199,0.543429491083185
5000,1.0732421344225214,0.5688760948880304
5000,1.0294711360961755,0.5640743471746958
5000,0.9490440004089196,0.526523984925227
5000,1.0325098149706715,0.5419839992507991
5000,1.269978060556128,0.6279034109749093
5000,0.8304181487897199,0.5275692402317991
5000,1.1641235462899837,0.49786987200511246
5000,1.0307743800347415,0.6509752804550829
5000,0.8037975639243481,0.3377006101581046
5000,0.8050342114626652,0.5302351277074789
5000,1.1300904491401744,0.4162867982942105
5000,1.054789404285412,0.6421216924224661
5000,0.9815455967437483,0.5783507315146408
5000,1.0274990855518904,0.5683331972944392
5000,0.8508891844137283,0.43469338612176894
5000,1.0732520880518106,0.4900032889910484
5000,1.1863380794341942,0.3894490647403324
5000,0.9298025360543587,0.5554664552414537
5000,0.8310711499338442,0.464036617548144
5000,1.6762167876342624,0.8113052417970122
5000,1.2468147321818415,0.5840219140570471
5000,0.9018488497667757,0.5493749202196594
5000,0.934792405380082,0.4904508729340027
5000,0.8313480764442677,0.4113127778869216
