optimizer,p,m,energy_Hc,success_prob,time_sec,trial,C_max,C_qaoa,approx_ratio
COBYLA,16,2,2.2078157483895744e-06,1.0,11.669007062911987,6,2,1.9999977921842516,0.9999988960921258
COBYLA,1,2,0.0282932308443901,0.982421875,1.2217817306518557,7,2,1.9717067691556098,0.9858533845778049
COBYLA,2,2,2.985039046776717e-07,1.0,10.234632968902588,7,2,1.9999997014960953,0.9999998507480476
COBYLA,4,2,8.583445770815602e-08,1.0,1.5364313125610352,7,2,1.9999999141655422,0.9999999570827711
COBYLA,8,2,2.0171506155686195e-07,1.0,8.51119089126587,7,2,1.9999997982849385,0.9999998991424692
COBYLA,16,2,3.5081202026665537e-08,1.0,9.213213920593262,7,2,1.999999964918798,0.999999982459399
COBYLA,1,2,1.5540631934096716e-08,1.0,1.3011202812194824,8,2,1.999999984459368,0.999999992229684
COBYLA,2,2,2.7921137762954022e-09,1.0,1.6280481815338137,8,2,1.9999999972078861,0.9999999986039431
COBYLA,4,2,5.052370549707419e-09,1.0,1.6803336143493652,8,2,1.9999999949476295,0.9999999974738147
COBYLA,8,2,4.193936864460568e-11,1.0,3.4099745750427246,8,2,1.9999999999580607,0.9999999999790303
COBYLA,16,2,4.024838434757427e-09,1.0,13.412141799926758,8,2,1.9999999959751615,0.9999999979875808
COBYLA,1,2,6.24700692286595e-08,1.0,1.4849028587341309,9,2,1.9999999375299309,0.9999999687649654
COBYLA,2,2,7.899249333809255e-08,1.0,1.159942388534546,9,2,1.9999999210075066,0.9999999605037533
COBYLA,4,2,3.295913250656035e-09,1.0,1.6755313873291016,9,2,1.9999999967040867,0.9999999983520433
COBYLA,8,2,1.142717587221398e-09,1.0,3.365741491317749,9,2,1.9999999988572825,0.9999999994286413
COBYLA,16,2,2.792724385081158e-12,1.0,12.039703607559204,9,2,1.9999999999972073,0.9999999999986037
COBYLA,1,2,0.0282932503021968,0.9833984375,1.150874137878418,10,2,1.9717067496978031,0.9858533748489016
COBYLA,2,2,1.5587437590669498e-07,1.0,10.083409547805786,10,2,1.9999998441256241,0.9999999220628121
COBYLA,4,2,3.03401373469292e-08,1.0,3.013235092163086,10,2,1.9999999696598627,0.9999999848299314
COBYLA,8,2,2.5142243953446552e-08,1.0,4.461758852005005,10,2,1.9999999748577562,0.9999999874288781
COBYLA,16,2,6.5180083552718315e-09,1.0,16.108365058898926,10,2,1.9999999934819916,0.9999999967409958
COBYLA,1,2,4.003590792223122e-10,1.0,1.574749231338501,11,2,1.999999999599641,0.9999999997998205
COBYLA,2,2,2.9174055601877136e-08,1.0,1.3424789905548096,11,2,1.9999999708259444,0.9999999854129722
COBYLA,4,2,1.0905323755139308e-08,1.0,2.118924856185913,11,2,1.9999999890946762,0.9999999945473381
COBYLA,8,2,2.9114803998253613e-08,1.0,3.472769498825073,11,2,1.999999970885196,0.999999985442598
COBYLA,16,2,1.4858766994585437e-11,1.0,12.472305297851562,11,2,1.9999999999851412,0.9999999999925706
COBYLA,1,2,1.0092888941271028e-08,1.0,1.2127761840820312,12,2,1.999999989907111,0.9999999949535555
COBYLA,2,2,2.2840831948034438e-08,1.0,1.090557336807251,12,2,1.999999977159168,0.999999988579584
COBYLA,4,2,1.9913092008660982e-10,1.0,1.8838727474212649,12,2,1.999999999800869,0.9999999999004345
COBYLA,8,2,1.0651075854628543e-10,1.0,3.7845301628112793,12,2,1.9999999998934892,0.9999999999467446
COBYLA,16,2,9.5961433244085e-12,1.0,11.272720098495483,12,2,1.999999999990404,0.999999999995202
COBYLA,1,2,4.6000536713108894e-09,1.0,1.1469485759735107,13,2,1.9999999953999463,0.9999999976999732
COBYLA,2,2,1.6989076812023995e-09,1.0,0.7568683624267578,13,2,1.9999999983010923,0.9999999991505462
COBYLA,4,2,1.5120875218599394e-08,1.0,1.877765655517578,13,2,1.9999999848791248,0.9999999924395624
COBYLA,8,2,1.8587797967484218e-10,1.0,2.7199952602386475,13,2,1.999999999814122,0.999999999907061
COBYLA,16,2,6.620837211812614e-11,1.0,6.506415605545044,13,2,1.9999999999337916,0.9999999999668958
COBYLA,1,2,4.580565260425829e-08,1.0,1.3789567947387695,14,2,1.9999999541943474,0.9999999770971737
COBYLA,2,2,5.8162750449231035e-09,1.0,1.5323896408081057,14,2,1.999999994183725,0.9999999970918625
COBYLA,4,2,1.0781627161893237e-07,1.0,2.8438644409179688,14,2,1.9999998921837283,0.9999999460918642
COBYLA,8,2,1.1659575110956055e-09,1.0,3.5134785175323486,14,2,1.9999999988340424,0.9999999994170212
COBYLA,16,2,9.807210599177552e-12,1.0,13.189265727996826,14,2,1.9999999999901927,0.9999999999950964
COBYLA,1,2,0.0599568681447746,0.9404296875,1.5199790000915527,15,2,1.9400431318552254,0.9700215659276127
COBYLA,2,2,8.576909213492412e-06,1.0,14.368462562561035,15,2,1.9999914230907865,0.9999957115453932
COBYLA,4,2,3.791296390776022e-06,1.0,8.228892803192139,15,2,1.9999962087036092,0.9999981043518046
COBYLA,8,2,5.527541404204417e-06,1.0,4.043078660964966,15,2,1.9999944724585959,0.9999972362292979
COBYLA,16,2,2.403377151710684e-06,1.0,46.153395652771,15,2,1.9999975966228483,0.9999987983114241
COBYLA,1,2,0.0599568970882166,0.9287109375,1.915380954742432,16,2,1.9400431029117835,0.9700215514558918
COBYLA,2,2,1.6444107692192844e-07,1.0,15.20078992843628,16,2,1.999999835558923,0.9999999177794615
COBYLA,4,2,2.6341693326603632e-08,1.0,1.38059663772583,16,2,1.9999999736583067,0.9999999868291534
COBYLA,8,2,2.7512267741780505e-08,1.0,6.693102121353149,16,2,1.9999999724877322,0.9999999862438661
COBYLA,16,2,1.1927227069885582e-07,1.0,11.328168869018556,16,2,1.9999998807277293,0.9999999403638646
COBYLA,1,2,0.0282932307658282,0.982421875,1.211961030960083,17,2,1.9717067692341719,0.9858533846170859
COBYLA,2,2,2.3680128768965858e-07,1.0,10.709399223327637,17,2,1.9999997631987123,0.9999998815993562
COBYLA,4,2,6.970008911699743e-08,1.0,4.016049385070801,17,2,1.999999930299911,0.9999999651499555
COBYLA,8,2,7.17514589410051e-10,1.0,5.541340112686157,17,2,1.9999999992824855,0.9999999996412428
COBYLA,16,2,7.890414849276438e-10,1.0,14.144032955169678,17,2,1.9999999992109585,0.9999999996054793
COBYLA,1,2,5.574804562424873e-09,1.0,1.0696887969970703,18,2,1.9999999944251954,0.9999999972125977
COBYLA,2,2,4.119613039588188e-09,1.0,0.8760123252868652,18,2,1.999999995880387,0.9999999979401935
COBYLA,4,2,5.212541509536095e-11,1.0,1.7332994937896729,18,2,1.9999999999478746,0.9999999999739373
COBYLA,8,2,2.8728663892252366e-10,1.0,3.021492719650269,18,2,1.9999999997127134,0.9999999998563567
COBYLA,16,2,2.3050006348057647e-10,1.0,8.66930341720581,18,2,1.9999999997695,0.99999999988475
COBYLA,1,2,5.250081050456323e-09,1.0,1.6305830478668213,19,2,1.999999994749919,0.9999999973749595
COBYLA,2,2,1.807100012685137e-08,1.0,1.2638347148895264,19,2,1.999999981929,0.9999999909645
COBYLA,4,2,4.894491534290779e-09,1.0,1.932197332382202,19,2,1.9999999951055085,0.9999999975527543
COBYLA,8,2,3.6085147869791e-08,1.0,3.819034337997437,19,2,1.9999999639148522,0.9999999819574261
COBYLA,16,2,7.627093401296747e-12,1.0,9.466908931732178,19,2,1.999999999992373,0.9999999999961865
COBYLA,1,2,5.263658842125096e-09,1.0,1.4134867191314695,20,2,1.9999999947363412,0.9999999973681706
COBYLA,2,2,2.036004601024821e-09,1.0,0.9824941158294678,20,2,1.9999999979639953,0.9999999989819977
