optimizer,p,m,energy_Hc,time_sec,trial,C_max,C_qaoa,approx_ratio
COBYLA,1,2,8.465178111261018e-08,0.7442996501922607,0,2,1.9999999153482189,0.9999999576741094
COBYLA,2,2,3.1506101616507465e-09,0.5910000801086426,0,2,1.9999999968493898,0.9999999984246949
COBYLA,4,2,2.3535808996166807e-09,1.0338361263275146,0,2,1.9999999976464191,0.9999999988232096
COBYLA,8,2,3.310396401445814e-11,2.5255064964294434,0,2,1.999999999966896,0.999999999983448
COBYLA,16,2,1.4133361148083168e-11,7.501524209976196,0,2,1.9999999999858666,0.9999999999929333
COBYLA,1,2,5.123998877976099e-09,0.6555557250976562,1,2,1.9999999948760012,0.9999999974380006
COBYLA,2,2,8.39774888516942e-10,0.6234455108642578,1,2,1.999999999160225,0.9999999995801125
COBYLA,4,2,2.401013263209073e-09,1.0509140491485596,1,2,1.9999999975989868,0.9999999987994934
COBYLA,8,2,1.368366808751631e-10,2.1665875911712646,1,2,1.9999999998631632,0.9999999999315816
COBYLA,16,2,4.5885864552452915e-11,5.984418869018555,1,2,1.999999999954114,0.999999999977057
COBYLA,1,2,5.392386884239819e-09,0.9000599384307861,2,2,1.999999994607613,0.9999999973038065
COBYLA,2,2,1.176295078009204e-08,0.839012622833252,2,2,1.9999999882370492,0.9999999941185246
COBYLA,4,2,6.051274985263699e-08,1.0989000797271729,2,2,1.99999993948725,0.999999969743625
COBYLA,8,2,6.54091535101653e-09,2.267780303955078,2,2,1.9999999934590846,0.9999999967295423
COBYLA,16,2,4.369006822990684e-10,6.62134861946106,2,2,1.9999999995630993,0.9999999997815496
COBYLA,1,2,0.028293238008495744,0.9246683120727539,3,2,1.9717067619915043,0.9858533809957521
COBYLA,2,2,2.013674686857092e-07,3.089211940765381,3,2,1.9999997986325313,0.9999998993162657
COBYLA,4,2,5.073310424541511e-09,2.087907075881958,3,2,1.9999999949266896,0.9999999974633448
COBYLA,8,2,1.0918573503659879e-08,2.9424219131469727,3,2,1.9999999890814264,0.9999999945407132
COBYLA,16,2,1.0072872119737397e-09,6.231698274612427,3,2,1.9999999989927129,0.9999999994963564
COBYLA,1,2,1.0927541482796954e-08,1.0254886150360107,4,2,1.9999999890724585,0.9999999945362292
COBYLA,2,2,1.9940608922408565e-07,0.6311454772949219,4,2,1.9999998005939108,0.9999999002969554
COBYLA,4,2,3.42430278577055e-09,1.2973229885101318,4,2,1.9999999965756972,0.9999999982878486
COBYLA,8,2,1.4186041230601631e-10,2.4552531242370605,4,2,1.9999999998581397,0.9999999999290698
COBYLA,16,2,7.474008911767527e-11,6.455888271331787,4,2,1.99999999992526,0.99999999996263
COBYLA,1,2,0.4077479374456913,1.0758402347564697,5,2,1.5922520625543086,0.7961260312771543
COBYLA,2,2,5.703073380603808e-06,17.663897037506104,5,2,1.9999942969266193,0.9999971484633097
COBYLA,4,2,6.117245323796578e-06,4.829150915145874,5,2,1.9999938827546762,0.9999969413773381
COBYLA,8,2,4.8573555476477855e-06,7.452315092086792,5,2,1.9999951426444524,0.9999975713222262
COBYLA,16,2,4.72589053909637e-06,5.893901348114014,5,2,1.9999952741094609,0.9999976370547304
COBYLA,1,2,5.417421705677938e-09,0.6440339088439941,6,2,1.9999999945825784,0.9999999972912892
COBYLA,2,2,6.782900308088813e-08,0.7910480499267578,6,2,1.999999932170997,0.9999999660854985
COBYLA,4,2,6.103418256908633e-09,0.9861936569213867,6,2,1.9999999938965818,0.9999999969482909
COBYLA,8,2,3.7996678026175346e-10,2.451603651046753,6,2,1.9999999996200333,0.9999999998100166
COBYLA,16,2,3.4103696255893823e-10,6.91709041595459,6,2,1.999999999658963,0.9999999998294815
COBYLA,1,2,0.05995685747437128,0.6960544586181641,7,2,1.9400431425256288,0.9700215712628144
COBYLA,2,2,1.7713313457679014e-07,3.7349140644073486,7,2,1.9999998228668654,0.9999999114334327
COBYLA,4,2,2.1865491084405164e-08,1.7188878059387207,7,2,1.9999999781345088,0.9999999890672544
COBYLA,8,2,4.656542310077505e-08,2.6460931301116943,7,2,1.999999953434577,0.9999999767172885
COBYLA,16,2,5.668369662537032e-10,5.136919021606445,7,2,1.999999999433163,0.9999999997165815
COBYLA,1,2,0.40774808820569475,1.2783408164978027,8,2,1.5922519117943053,0.7961259558971526
COBYLA,2,2,5.258827973642077e-07,5.212648630142212,8,2,1.9999994741172027,0.9999997370586013
COBYLA,4,2,3.322038431008423e-07,1.012289047241211,8,2,1.999999667796157,0.9999998338980784
COBYLA,8,2,7.966833931449813e-08,2.428607940673828,8,2,1.9999999203316607,0.9999999601658304
COBYLA,16,2,2.860245718050436e-08,12.037461042404175,8,2,1.9999999713975427,0.9999999856987714
COBYLA,1,2,5.4937813326327856e-09,0.8871653079986572,9,2,1.9999999945062186,0.9999999972531093
COBYLA,2,2,2.3595977810542124e-09,0.6398775577545166,9,2,1.9999999976404021,0.9999999988202011
COBYLA,4,2,6.477679920235957e-09,0.9057271480560303,9,2,1.99999999352232,0.99999999676116
COBYLA,8,2,1.9181337074236637e-10,2.2197844982147217,9,2,1.9999999998081865,0.9999999999040933
COBYLA,16,2,5.932614122183821e-11,5.64334511756897,9,2,1.999999999940674,0.999999999970337
COBYLA,1,2,0.4077481069816617,1.5289115905761719,10,2,1.5922518930183382,0.7961259465091691
COBYLA,2,2,1.0348709164359482e-05,6.930671215057373,10,2,1.9999896512908357,0.9999948256454179
COBYLA,4,2,5.5271472332030225e-06,2.408468008041382,10,2,1.9999944728527668,0.9999972364263834
COBYLA,8,2,3.64813908373951e-06,23.785065412521362,10,2,1.9999963518609163,0.9999981759304581
COBYLA,16,2,3.461106656804658e-06,7.5597825050354,10,2,1.9999965388933432,0.9999982694466716
COBYLA,1,2,0.407747852783231,1.0524911880493164,11,2,1.592252147216769,0.7961260736083845
COBYLA,2,2,1.1626890847327154e-07,5.453857898712158,11,2,1.9999998837310915,0.9999999418655457
COBYLA,4,2,2.3842016166897295e-08,1.7345428466796875,11,2,1.9999999761579839,0.9999999880789919
COBYLA,8,2,1.407692607618971e-07,2.098221778869629,11,2,1.9999998592307393,0.9999999296153697
COBYLA,16,2,7.508573959813525e-08,5.985583782196045,11,2,1.9999999249142604,0.9999999624571302
COBYLA,1,2,1.316691478070453e-10,0.8877031803131104,12,2,1.9999999998683309,0.9999999999341654
COBYLA,2,2,5.447325562846217e-09,0.6891515254974365,12,2,1.9999999945526745,0.9999999972763373
COBYLA,4,2,2.275704388821076e-09,1.1614277362823486,12,2,1.9999999977242957,0.9999999988621479
COBYLA,8,2,2.490670170107734e-10,1.8239412307739258,12,2,1.999999999750933,0.9999999998754665
COBYLA,16,2,1.3964099321306378e-10,5.953588485717773,12,2,1.999999999860359,0.9999999999301795
COBYLA,1,2,7.100697210771223e-09,0.8140933513641357,13,2,1.9999999928993029,0.9999999964496514
COBYLA,2,2,1.5361517474721254e-09,0.5590212345123291,13,2,1.9999999984638483,0.9999999992319242
COBYLA,4,2,7.092340603698233e-11,1.0281481742858887,13,2,1.9999999999290765,0.9999999999645383
COBYLA,8,2,2.5024977923227e-10,2.351567268371582,13,2,1.9999999997497502,0.9999999998748751
COBYLA,16,2,2.0204560247094605e-11,6.0514726638793945,13,2,1.9999999999797955,0.9999999999898977
COBYLA,1,2,4.720688658033101e-08,0.7404146194458008,14,2,1.9999999527931134,0.9999999763965567
COBYLA,2,2,1.7358880721740633e-09,0.5938196182250977,14,2,1.999999998264112,0.999999999132056
COBYLA,4,2,2.001680779462056e-09,1.0724973678588867,14,2,1.9999999979983192,0.9999999989991596
COBYLA,8,2,1.757113898825935e-11,2.40144681930542,14,2,1.999999999982429,0.9999999999912145
COBYLA,16,2,6.754523329544071e-11,5.762189626693726,14,2,1.9999999999324547,0.9999999999662273
COBYLA,1,2,0.05995686082050941,0.8802399635314941,15,2,1.9400431391794906,0.9700215695897453
COBYLA,2,2,3.0915177113288728e-06,10.633511066436768,15,2,1.9999969084822886,0.9999984542411443
COBYLA,4,2,5.607344190500241e-06,3.480475664138794,15,2,1.9999943926558095,0.9999971963279047
COBYLA,8,2,4.113692402635261e-06,4.198985576629639,15,2,1.9999958863075973,0.9999979431537986
COBYLA,16,2,3.909585948480565e-06,9.868865966796875,15,2,1.9999960904140515,0.9999980452070257
COBYLA,1,2,0.05995695353982754,1.051710605621338,16,2,1.9400430464601726,0.9700215232300863
COBYLA,2,2,8.023002542323354e-06,8.677775144577026,16,2,1.9999919769974577,0.9999959884987288
COBYLA,4,2,1.5314958179968308e-06,6.913299083709717,16,2,1.999998468504182,0.999999234252091
COBYLA,8,2,1.2247008470966936e-06,5.006231069564819,16,2,1.9999987752991528,0.9999993876495764
COBYLA,16,2,1.2745192344842948e-06,11.284537315368652,16,2,1.9999987254807654,0.9999993627403827
COBYLA,1,2,0.40774786294503856,1.7134954929351807,17,2,1.5922521370549614,0.7961260685274807
COBYLA,2,2,3.2000679650867614e-06,9.178991317749023,17,2,1.999996799932035,0.9999983999660175
COBYLA,4,2,2.614323911825922e-06,1.1758956909179688,17,2,1.9999973856760882,0.9999986928380441
COBYLA,8,2,1.3897279341756885e-06,6.496517896652222,17,2,1.999998610272066,0.999999305136033
COBYLA,16,2,9.387102652136381e-07,11.700717449188232,17,2,1.9999990612897347,0.9999995306448674
COBYLA,1,2,0.028293229889543928,0.8713152408599854,18,2,1.971706770110456,0.985853385055228
COBYLA,2,2,5.568962571644853e-08,3.2700531482696533,18,2,1.9999999443103742,0.9999999721551871
COBYLA,4,2,1.8274274232732424e-08,1.553497314453125,18,2,1.9999999817257257,0.9999999908628628
COBYLA,8,2,1.7227580473289095e-09,2.2561211585998535,18,2,1.999999998277242,0.999999999138621
COBYLA,16,2,2.9653271227392253e-09,6.015918731689453,18,2,1.999999997034673,0.9999999985173365
COBYLA,1,2,9.422594704489029e-09,0.6950278282165527,19,2,1.9999999905774053,0.9999999952887026
COBYLA,2,2,3.561525999118409e-08,1.0005536079406738,19,2,1.99999996438474,0.99999998219237
COBYLA,4,2,2.4131770470781078e-09,1.2077372074127197,19,2,1.999999997586823,0.9999999987934115
COBYLA,8,2,5.573772832168089e-10,2.499037981033325,19,2,1.9999999994426227,0.9999999997213114
COBYLA,16,2,5.146477688455775e-11,6.07912015914917,19,2,1.9999999999485352,0.9999999999742676
COBYLA,1,2,1.3482721966662226e-08,0.9646685123443604,20,2,1.999999986517278,0.999999993258639
COBYLA,2,2,1.6381276404797696e-08,0.6226024627685547,20,2,1.9999999836187237,0.9999999918093618
COBYLA,4,2,1.1853070927547726e-08,1.3939902782440186,20,2,1.999999988146929,0.9999999940734645
COBYLA,8,2,3.486090166537892e-10,2.505566120147705,20,2,1.999999999651391,0.9999999998256955
COBYLA,16,2,1.9013221552732773e-11,5.177517414093018,20,2,1.9999999999809868,0.9999999999904934
COBYLA,1,2,6.432350707630263e-09,0.7115707397460938,21,2,1.9999999935676493,0.9999999967838247
COBYLA,2,2,1.9542013424134197e-09,0.7327346801757812,21,2,1.9999999980457988,0.9999999990228994
COBYLA,4,2,1.1095562510443635e-08,1.0644557476043701,21,2,1.9999999889044375,0.9999999944522188
COBYLA,8,2,1.6633985855385447e-11,2.091498374938965,21,2,1.999999999983366,0.999999999991683
COBYLA,16,2,2.7705587823945166e-11,5.551481008529663,21,2,1.9999999999722944,0.9999999999861472
COBYLA,1,2,1.7098714347185684e-08,0.8278958797454834,22,2,1.9999999829012856,0.9999999914506428
COBYLA,2,2,1.4333250003550901e-09,0.6290302276611328,22,2,1.999999998566675,0.9999999992833375
COBYLA,4,2,3.825046265837351e-09,0.8999538421630859,22,2,1.9999999961749537,0.9999999980874769
COBYLA,8,2,8.314155613975416e-10,2.0533924102783203,22,2,1.9999999991685844,0.9999999995842922
COBYLA,16,2,2.645050845018204e-12,5.143083095550537,22,2,1.999999999997355,0.9999999999986775
COBYLA,1,2,0.028293235958752508,0.834355354309082,23,2,1.9717067640412476,0.9858533820206238
COBYLA,2,2,8.433553788655956e-08,4.019601345062256,23,2,1.9999999156644621,0.9999999578322311
COBYLA,4,2,6.544473464542566e-08,1.1606788635253906,23,2,1.9999999345552653,0.9999999672776326
COBYLA,8,2,8.763811713830005e-08,4.00775933265686,23,2,1.9999999123618828,0.9999999561809414
COBYLA,16,2,1.6499737270914139e-09,6.566511154174805,23,2,1.9999999983500263,0.9999999991750131
COBYLA,1,2,1.535477860137302e-08,0.8443558216094971,24,2,1.9999999846452214,0.9999999923226107
COBYLA,2,2,6.7374084922189326e-09,0.8838491439819336,24,2,1.9999999932625916,0.9999999966312958
COBYLA,4,2,5.7278195686460975e-08,1.794295310974121,24,2,1.9999999427218043,0.9999999713609021
COBYLA,8,2,1.3170216722757644e-09,1.5584840774536133,24,2,1.9999999986829784,0.9999999993414892
COBYLA,16,2,4.031504408086306e-09,6.493788480758667,24,2,1.9999999959684955,0.9999999979842478
COBYLA,1,2,5.064675540067398e-09,0.6537857055664062,25,2,1.9999999949353244,0.9999999974676622
COBYLA,2,2,1.0897224789196969e-10,0.5560400485992432,25,2,1.9999999998910278,0.9999999999455139
COBYLA,4,2,7.363392673376268e-10,1.255310297012329,25,2,1.9999999992636608,0.9999999996318304
COBYLA,8,2,2.9999516759637856e-11,1.2859954833984375,25,2,1.9999999999700004,0.9999999999850002
COBYLA,16,2,2.301942525484435e-10,5.360572814941406,25,2,1.9999999997698057,0.9999999998849028
COBYLA,1,2,8.274414833864263e-08,0.5983145236968994,26,2,1.9999999172558516,0.9999999586279258
COBYLA,2,2,8.990203026471022e-11,0.5990066528320312,26,2,1.999999999910098,0.999999999955049
COBYLA,4,2,1.4322285302181825e-09,0.3599817752838135,26,2,1.9999999985677714,0.9999999992838857
COBYLA,8,2,8.412254226541904e-11,1.915276288986206,26,2,1.9999999999158775,0.9999999999579388
COBYLA,16,2,6.407430142019166e-12,4.895617485046387,26,2,1.9999999999935927,0.9999999999967963
COBYLA,1,2,1.707219421387407e-09,0.054570913314819336,27,2,1.9999999982927805,0.9999999991463903
COBYLA,2,2,9.878322118628269e-09,0.587151288986206,27,2,1.9999999901216778,0.9999999950608389
COBYLA,4,2,1.606841965040573e-09,1.1065049171447754,27,2,1.999999998393158,0.999999999196579
COBYLA,8,2,9.261653943770654e-11,2.5035293102264404,27,2,1.9999999999073834,0.9999999999536917
COBYLA,16,2,7.882069996689722e-12,6.5233752727508545,27,2,1.9999999999921179,0.9999999999960589
COBYLA,1,2,1.55056041617474e-09,1.0087347030639648,28,2,1.9999999984494397,0.9999999992247198
COBYLA,2,2,1.2883993094625623e-08,0.6407949924468994,28,2,1.999999987116007,0.9999999935580035
COBYLA,4,2,1.7664583962240243e-09,1.200789451599121,28,2,1.9999999982335417,0.9999999991167708
COBYLA,8,2,1.873917174211037e-09,2.5290005207061768,28,2,1.9999999981260828,0.9999999990630414
COBYLA,16,2,6.913884742498766e-11,7.463878393173218,28,2,1.999999999930861,0.9999999999654305
COBYLA,1,2,8.957464270320514e-09,0.9648327827453613,29,2,1.9999999910425357,0.9999999955212678
COBYLA,2,2,4.875758685685128e-10,0.6813299655914307,29,2,1.9999999995124242,0.9999999997562121
COBYLA,4,2,7.025265091886723e-11,1.1095144748687744,29,2,1.9999999999297473,0.9999999999648737
COBYLA,8,2,3.051278354981868e-09,2.568854808807373,29,2,1.9999999969487217,0.9999999984743608
COBYLA,16,2,1.1609824213110187e-10,7.5643086433410645,29,2,1.9999999998839018,0.9999999999419509
COBYLA,1,2,5.3027437219022033e-08,1.137294054031372,30,2,1.999999946972563,0.9999999734862814
COBYLA,2,2,3.350331942431062e-09,0.7697699069976807,30,2,1.999999996649668,0.999999998324834
COBYLA,4,2,1.407273825249078e-09,1.1389555931091309,30,2,1.9999999985927261,0.9999999992963631
COBYLA,8,2,3.143968002605746e-10,2.3666653633117676,30,2,1.9999999996856033,0.9999999998428016
COBYLA,16,2,6.473196978440399e-12,7.248345851898193,30,2,1.9999999999935267,0.9999999999967634
COBYLA,1,2,5.1007069179487274e-08,1.1370723247528076,31,2,1.9999999489929308,0.9999999744964654
COBYLA,2,2,5.788362289482762e-10,0.7292556762695312,31,2,1.9999999994211637,0.9999999997105818
COBYLA,4,2,1.0247252490991343e-09,1.012963056564331,31,2,1.9999999989752748,0.9999999994876374
COBYLA,8,2,4.678407800051687e-10,2.4327564239501953,31,2,1.9999999995321591,0.9999999997660796
COBYLA,16,2,2.0621365726114504e-11,6.704805135726929,31,2,1.9999999999793787,0.9999999999896894
COBYLA,1,2,7.429800723268709e-08,0.974393367767334,32,2,1.9999999257019927,0.9999999628509963
COBYLA,2,2,4.3744306649218245e-09,0.625401496887207,32,2,1.9999999956255694,0.9999999978127847
COBYLA,4,2,6.5710939467500395e-09,1.1763885021209717,32,2,1.999999993428906,0.999999996714453
COBYLA,8,2,1.3919694979991348e-09,2.9974379539489746,32,2,1.9999999986080306,0.9999999993040153
COBYLA,16,2,3.0964814046186007e-11,6.900896072387695,32,2,1.9999999999690352,0.9999999999845176
COBYLA,1,2,4.099209498231726e-08,0.748420000076294,33,2,1.999999959007905,0.9999999795039525
COBYLA,2,2,2.9853165911530866e-08,1.0538926124572754,33,2,1.999999970146834,0.999999985073417
COBYLA,4,2,1.2406678739917965e-09,1.0901358127593994,33,2,1.9999999987593322,0.9999999993796661
COBYLA,8,2,1.5060538927080813e-10,3.1405255794525146,33,2,1.9999999998493947,0.9999999999246973
COBYLA,16,2,4.319433699606634e-12,7.793222665786743,33,2,1.9999999999956806,0.9999999999978403
COBYLA,1,2,1.3788038488726784e-09,0.7156467437744141,34,2,1.9999999986211963,0.9999999993105981
COBYLA,2,2,1.2665904436381936e-09,0.6459691524505615,34,2,1.9999999987334096,0.9999999993667048
COBYLA,4,2,3.6911129708272483e-10,1.0736982822418213,34,2,1.9999999996308886,0.9999999998154443
COBYLA,8,2,5.45874456747697e-11,1.597198724746704,34,2,1.9999999999454126,0.9999999999727063
COBYLA,16,2,1.9144019702821424e-11,5.381499290466309,34,2,1.999999999980856,0.999999999990428
COBYLA,1,2,0.05995690104243395,1.188469648361206,35,2,1.940043098957566,0.970021549478783
COBYLA,2,2,2.314555635096749e-06,10.416050672531128,35,2,1.9999976854443648,0.9999988427221824
COBYLA,4,2,2.5753959113500313e-06,1.684736967086792,35,2,1.9999974246040886,0.9999987123020443
COBYLA,8,2,9.275375632278315e-07,5.650876522064209,35,2,1.9999990724624368,0.9999995362312184
COBYLA,16,2,5.036566851114588e-06,39.15016794204712,35,2,1.9999949634331489,0.9999974817165744
COBYLA,1,2,1.7904289384418348e-08,0.9391639232635498,36,2,1.9999999820957106,0.9999999910478553
COBYLA,2,2,1.042224900826838e-08,0.7339487075805664,36,2,1.999999989577751,0.9999999947888755
COBYLA,4,2,4.0295268233236925e-09,1.6455731391906738,36,2,1.999999995970473,0.9999999979852365
COBYLA,8,2,1.9487356173186754e-11,2.7474241256713867,36,2,1.9999999999805127,0.9999999999902563
COBYLA,16,2,5.248186468742588e-10,6.899770975112915,36,2,1.9999999994751814,0.9999999997375907
COBYLA,1,2,3.837189690991671e-09,1.0099618434906006,37,2,1.9999999961628103,0.9999999980814052
COBYLA,2,2,1.8251087308129854e-09,0.7002406120300293,37,2,1.9999999981748913,0.9999999990874456
COBYLA,4,2,1.5251714891029167e-09,1.2035846710205078,37,2,1.9999999984748285,0.9999999992374142
COBYLA,8,2,5.209913081505313e-08,2.516132116317749,37,2,1.9999999479008692,0.9999999739504346
COBYLA,16,2,1.6327633689527943e-12,8.943354368209839,37,2,1.9999999999983673,0.9999999999991837
COBYLA,1,2,0.02829323596610206,0.8492376804351807,38,2,1.9717067640338979,0.9858533820169489
COBYLA,2,2,6.270931109664257e-07,13.048335790634155,38,2,1.999999372906889,0.9999996864534445
COBYLA,4,2,3.150722860389976e-08,2.5790953636169434,38,2,1.9999999684927714,0.9999999842463857
COBYLA,8,2,2.1833954255701116e-08,2.550034999847412,38,2,1.9999999781660458,0.9999999890830229
COBYLA,16,2,1.5284305210361282e-09,11.108339071273804,38,2,1.9999999984715695,0.9999999992357848
COBYLA,1,2,1.3282097199862619e-08,0.6743669509887695,39,2,1.9999999867179028,0.9999999933589514
COBYLA,2,2,2.0021984389884118e-08,0.735867977142334,39,2,1.9999999799780157,0.9999999899890079
COBYLA,4,2,7.223101561315559e-10,1.1156549453735352,39,2,1.9999999992776898,0.9999999996388449
COBYLA,8,2,2.572953794466315e-10,2.2804067134857178,39,2,1.9999999997427047,0.9999999998713524
COBYLA,16,2,2.931245524084858e-11,5.636780738830566,39,2,1.9999999999706874,0.9999999999853437
COBYLA,1,2,5.0741854051850055e-09,1.0321123600006104,40,2,1.9999999949258145,0.9999999974629072
COBYLA,2,2,7.026061954462648e-10,0.6746165752410889,40,2,1.9999999992973938,0.9999999996486969
COBYLA,4,2,5.220920640258697e-10,1.1071655750274658,40,2,1.9999999994779079,0.9999999997389539
COBYLA,8,2,2.839878887606062e-10,2.939992904663086,40,2,1.999999999716012,0.999999999858006
COBYLA,16,2,1.5771370320827316e-11,6.782004117965698,40,2,1.9999999999842286,0.9999999999921143
COBYLA,1,2,9.515068691290374e-09,0.8246939182281494,41,2,1.9999999904849313,0.9999999952424656
COBYLA,2,2,6.8403018388396575e-09,0.6227946281433105,41,2,1.9999999931596981,0.9999999965798491
COBYLA,4,2,4.6104933482116195e-09,1.310499668121338,41,2,1.9999999953895067,0.9999999976947533
COBYLA,8,2,1.377352093490103e-09,2.373950242996216,41,2,1.999999998622648,0.999999999311324
COBYLA,16,2,2.01915845154943e-11,7.189426422119141,41,2,1.9999999999798084,0.9999999999899042
COBYLA,1,2,1.9253383054529394e-09,1.0107450485229492,42,2,1.9999999980746617,0.9999999990373308
COBYLA,2,2,3.1698503821786517e-09,0.7018656730651855,42,2,1.9999999968301496,0.9999999984150748
COBYLA,4,2,2.381294050834981e-10,1.6576881408691406,42,2,1.9999999997618705,0.9999999998809352
COBYLA,8,2,6.254105427982992e-10,2.4980602264404297,42,2,1.9999999993745894,0.9999999996872947
COBYLA,16,2,9.614142815195237e-12,7.774500608444214,42,2,1.999999999990386,0.999999999995193
COBYLA,1,2,4.539859183028128e-09,0.6682541370391846,43,2,1.9999999954601408,0.9999999977300704
COBYLA,2,2,8.318310734667378e-08,1.1202363967895508,43,2,1.9999999168168927,0.9999999584084464
COBYLA,4,2,1.596599213948835e-08,1.1104133129119873,43,2,1.999999984034008,0.999999992017004
COBYLA,8,2,9.802690603688546e-11,2.546265125274658,43,2,1.999999999901973,0.9999999999509865
