optimizer,p,m,energy_Hc,time_sec,trial,C_max,C_qaoa,approx_ratio
L-BFGS-B,8,8,0.0042072906340698,901.44877409935,29,8.0,7.99579270936593,0.9994740886707412
L-BFGS-B,16,8,0.0042070182027915,103.2311384677887,29,8.0,7.995792981797209,0.9994741227246512
L-BFGS-B,8,8,0.0020035869312915,212.31696152687076,30,8.0,7.997996413068709,0.9997495516335886
L-BFGS-B,16,8,0.002003680436963,123.10223412513731,30,8.0,7.997996319563037,0.9997495399453796
L-BFGS-B,8,8,0.0120753014164053,607.3576509952545,31,8.0,7.987924698583595,0.9984905873229494
L-BFGS-B,16,8,8.35683250103858e-05,16792.72424387932,31,8.0,7.99991643167499,0.9999895539593736
L-BFGS-B,8,8,0.0010523058114588,715.5456755161285,32,8.0,7.998947694188541,0.9998684617735676
L-BFGS-B,16,8,0.0002548257796839,8336.89863705635,32,8.0,7.999745174220316,0.9999681467775396
L-BFGS-B,8,8,0.000385935880712,1284.7324862480164,33,8.0,7.999614064119288,0.999951758014911
L-BFGS-B,16,8,0.0003858066281828,96.63374757766724,33,8.0,7.9996141933718174,0.9999517741714772
L-BFGS-B,8,8,0.0156075788459025,204.8885338306427,34,8.0,7.984392421154097,0.998049052644262
L-BFGS-B,16,8,0.0003779968735586,5009.302401065826,34,8.0,7.999622003126441,0.9999527503908052
L-BFGS-B,8,10,0.0045063057447344,342.4482192993164,25,10.0,9.995493694255266,0.9995493694255266
L-BFGS-B,16,10,0.0045061942266625,167.91642141342163,25,10.0,9.995493805773338,0.9995493805773338
L-BFGS-B,8,10,0.005647422686732,364.1620488166809,26,10.0,9.994352577313268,0.9994352577313268
L-BFGS-B,16,10,0.0056473702447509,140.73434567451477,26,10.0,9.99435262975525,0.999435262975525
L-BFGS-B,8,10,0.0008249789705244,714.2877645492554,27,10.0,9.999175021029476,0.9999175021029476
L-BFGS-B,16,10,0.0008248275299465,285.602192401886,27,10.0,9.999175172470052,0.9999175172470054
L-BFGS-B,8,10,0.0051645295622992,697.188907623291,28,10.0,9.9948354704377,0.9994835470437702
L-BFGS-B,16,10,0.0006891255738263,13386.643335819244,28,10.0,9.999310874426174,0.9999310874426174
L-BFGS-B,8,10,0.0028130054116928,1507.283394575119,29,10.0,9.997186994588308,0.9997186994588309
L-BFGS-B,16,10,0.0028130807470803,186.81621289253235,29,10.0,9.99718691925292,0.999718691925292
L-BFGS-B,8,10,0.002282498114682,389.43432545661926,30,10.0,9.99771750188532,0.999771750188532
L-BFGS-B,16,10,0.0022813840641235,317.1866087913513,30,10.0,9.997718615935876,0.9997718615935878
L-BFGS-B,8,10,0.0217281386486797,206.648996591568,31,10.0,9.97827186135132,0.997827186135132
L-BFGS-B,16,10,0.0006445847220765,11232.599814653397,31,10.0,9.999355415277924,0.9999355415277924
L-BFGS-B,8,10,0.0048874553376935,908.0884394645692,32,10.0,9.995112544662309,0.9995112544662308
L-BFGS-B,16,10,0.0048876361924618,224.62380576133728,32,10.0,9.995112363807538,0.9995112363807538
L-BFGS-B,8,10,0.013632589384227,401.1252310276032,33,10.0,9.986367410615774,0.9986367410615774
L-BFGS-B,16,10,0.0012688347897915,12599.913764476776,33,10.0,9.99873116521021,0.999873116521021
L-BFGS-B,8,10,0.001350637151239,1599.190509557724,34,10.0,9.99864936284876,0.9998649362848762
L-BFGS-B,16,10,0.0013506439995267,330.6826200485229,34,10.0,9.998649356000474,0.9998649356000474
L-BFGS-B,8,12,0.0037060058544375,578.1364462375641,25,12.0,11.996293994145562,0.9996911661787968
L-BFGS-B,16,12,0.0037060032660176,392.2445890903473,25,12.0,11.996293996733982,0.9996911663944984
L-BFGS-B,8,12,0.1017856084377687,838.169102191925,26,12.0,11.898214391562233,0.9915178659635192
L-BFGS-B,16,12,0.0183396028668615,10876.140948295591,26,12.0,11.98166039713314,0.9984716997610948
L-BFGS-B,8,12,0.0235744014816885,241.3750004768372,27,12.0,11.976425598518311,0.9980354665431926
L-BFGS-B,16,12,0.0001718723159078,12749.011412382126,27,12.0,11.999828127684092,0.9999856773070076
L-BFGS-B,8,12,0.0194273225446347,468.54233050346375,28,12.0,11.980572677455363,0.9983810564546136
L-BFGS-B,16,12,0.0003142895021824,8021.615751266479,28,12.0,11.999685710497818,0.9999738092081516
L-BFGS-B,8,12,0.042165315702411,836.0792021751404,29,12.0,11.95783468429759,0.9964862236914658
L-BFGS-B,16,12,0.0001763868572565,23208.17698121071,29,12.0,11.999823613142745,0.9999853010952284
L-BFGS-B,8,12,0.1820146297765577,368.951233625412,30,12.0,11.817985370223443,0.9848321141852868
L-BFGS-B,16,12,0.0147599982809207,13465.426398277285,30,12.0,11.98524000171908,0.9987700001432566
L-BFGS-B,8,12,0.1068288125772668,113.26100087165833,31,12.0,11.893171187422734,0.9910975989518944
L-BFGS-B,16,12,0.0084102494870935,4823.613926649094,31,12.0,11.991589750512906,0.9992991458760756
