optimizer,p,m,energy_Hc,success_prob,time_sec,trial
L-BFGS-B,1,2,0.05995685173891929,0.9375,0.24168944358825684,0
L-BFGS-B,2,2,1.5711257295158987e-10,1.0,0.7455699443817139,0
L-BFGS-B,4,2,5.919112422425599e-10,1.0,0.3162343502044678,0
L-BFGS-B,8,2,1.338751526303028e-09,1.0,0.8544116020202637,0
L-BFGS-B,16,2,4.08667544249397e-12,1.0,2.7339680194854736,0
L-BFGS-B,1,2,9.387490784718011e-13,1.0,0.27068495750427246,1
L-BFGS-B,2,2,1.1488010542848315e-10,1.0,0.17464256286621094,1
L-BFGS-B,4,2,2.4669028764190415e-09,1.0,0.3232612609863281,1
L-BFGS-B,8,2,1.4071304677010232e-09,1.0,0.9426934719085693,1
L-BFGS-B,16,2,6.358684412344218e-11,1.0,3.7828421592712402,1
L-BFGS-B,1,2,6.050715484207103e-14,1.0,0.19514775276184082,2
L-BFGS-B,2,2,1.3783674202016982e-10,1.0,0.18862271308898926,2
L-BFGS-B,4,2,1.5977760781105133e-10,1.0,0.35079383850097656,2
L-BFGS-B,8,2,5.207743680735177e-10,1.0,0.6004557609558105,2
L-BFGS-B,16,2,1.402074152612176e-08,1.0,2.5548200607299805,2
L-BFGS-B,1,2,1.3838930001952576e-13,1.0,0.2641780376434326,3
L-BFGS-B,2,2,2.1030815977596262e-12,1.0,0.18764495849609375,3
L-BFGS-B,4,2,2.1468937738688965e-14,1.0,0.36580419540405273,3
L-BFGS-B,8,2,3.2442085198813864e-08,1.0,0.5474133491516113,3
L-BFGS-B,16,2,4.858863311696382e-12,1.0,3.016986846923828,3
L-BFGS-B,1,2,6.109002192999924e-14,1.0,0.3012104034423828,4
L-BFGS-B,2,2,4.208411397144118e-12,1.0,0.21567940711975098,4
L-BFGS-B,4,2,5.095159211210287e-09,1.0,0.26120924949645996,4
L-BFGS-B,8,2,4.08311386090876e-09,1.0,0.7040252685546875,4
L-BFGS-B,16,2,3.824693436960125e-09,1.0,2.072503089904785,4
