optimizer,p,m,energy_Hc,time_sec,trial,C_max,C_qaoa,approx_ratio
L-BFGS-B,8,2,0.0,1.59,16,2,2.0,1.0
L-BFGS-B,16,2,0.0,7.42,16,2,2.0,1.0
L-BFGS-B,1,2,0.06,0.51,17,2,1.94,0.97
L-BFGS-B,2,2,0.0,1.01,17,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.45,17,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.73,17,2,2.0,1.0
L-BFGS-B,16,2,0.0,3.08,17,2,2.0,1.0
L-BFGS-B,1,2,0.0283,0.35,18,2,1.9717,0.98585
L-BFGS-B,2,2,0.0,1.13,18,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.41,18,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.11,18,2,2.0,1.0
L-BFGS-B,16,2,0.0,2.02,18,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.43,19,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.25,19,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.51,19,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.72,19,2,2.0,1.0
L-BFGS-B,16,2,0.0,7.69,19,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.64,20,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.39,20,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.94,20,2,2.0,1.0
L-BFGS-B,8,2,0.0,2.34,20,2,2.0,1.0
L-BFGS-B,16,2,0.0,7.79,20,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.32,21,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.31,21,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.43,21,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.62,21,2,2.0,1.0
L-BFGS-B,16,2,0.0,2.64,21,2,2.0,1.0
L-BFGS-B,1,2,-0.0,0.56,22,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.26,22,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.49,22,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.01,22,2,2.0,1.0
L-BFGS-B,16,2,0.0,2.38,22,2,2.0,1.0
L-BFGS-B,1,2,0.0283,0.5,23,2,1.9717,0.98585
L-BFGS-B,2,2,0.0,1.49,23,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.85,23,2,2.0,1.0
L-BFGS-B,8,2,0.0,2.31,23,2,2.0,1.0
L-BFGS-B,16,2,0.0,10.44,23,2,2.0,1.0
L-BFGS-B,1,2,-0.0,0.67,24,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.24,24,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.59,24,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.28,24,2,2.0,1.0
L-BFGS-B,16,2,0.0,5.78,24,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.33,25,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.26,25,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.29,25,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.5,25,2,2.0,1.0
L-BFGS-B,16,2,0.0,1.29,25,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.38,26,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.29,26,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.48,26,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.66,26,2,2.0,1.0
L-BFGS-B,16,2,0.0,4.08,26,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.63,27,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.29,27,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.62,27,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.52,27,2,2.0,1.0
L-BFGS-B,16,2,0.0,5.75,27,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.47,28,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.47,28,2,2.0,1.0
L-BFGS-B,4,2,-0.0,1.21,28,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.98,28,2,2.0,1.0
L-BFGS-B,16,2,0.0,10.21,28,2,2.0,1.0
L-BFGS-B,1,2,-0.0,0.56,29,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.32,29,2,2.0,1.0
L-BFGS-B,4,2,-0.0,0.85,29,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.47,29,2,2.0,1.0
L-BFGS-B,16,2,0.0,6.24,29,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.47,30,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.38,30,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.75,30,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.61,30,2,2.0,1.0
L-BFGS-B,16,2,0.0,4.82,30,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.39,31,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.35,31,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.52,31,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.99,31,2,2.0,1.0
L-BFGS-B,16,2,0.0,7.93,31,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.7,32,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.37,32,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.78,32,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.68,32,2,2.0,1.0
L-BFGS-B,16,2,0.0,4.68,32,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.41,33,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.34,33,2,2.0,1.0
L-BFGS-B,4,2,-0.0,1.37,33,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.31,33,2,2.0,1.0
L-BFGS-B,16,2,0.0,4.71,33,2,2.0,1.0
