optimizer,p,m,energy_Hc,time_sec,trial,C_max,C_qaoa,approx_ratio
SPSA,1,2,1.8428193672273552e-05,38.41731262207031,0,2,1.999981571806328,0.9999907859031638
SPSA,2,2,0.0001753565297453,39.23448300361633,0,2,1.999824643470255,0.9999123217351272
SPSA,4,2,0.0002437427208653,48.08286809921265,0,2,1.9997562572791348,0.9998781286395674
SPSA,8,2,0.001331037561664,64.73587322235107,0,2,1.998668962438336,0.999334481219168
SPSA,16,2,0.0065296494473292,92.10923266410828,0,2,1.9934703505526707,0.9967351752763354
SPSA,1,2,1.83501226216215e-05,37.109689712524414,1,2,1.9999816498773784,0.9999908249386892
SPSA,2,2,1.7000876858658254e-06,38.63729667663574,1,2,1.999998299912314,0.999999149956157
SPSA,4,2,0.000257615579597,46.90630197525024,1,2,1.999742384420403,0.9998711922102016
SPSA,8,2,0.0013487749407898,63.03900027275085,1,2,1.99865122505921,0.9993256125296052
SPSA,16,2,0.0029754986104861,85.88904404640198,1,2,1.9970245013895136,0.9985122506947568
SPSA,1,2,1.836698609963827e-05,39.10256791114807,2,2,1.9999816330139004,0.9999908165069502
SPSA,2,2,0.0001690147095274,40.600672006607056,2,2,1.9998309852904723,0.9999154926452364
SPSA,4,2,0.0005258454768579,50.73792290687561,2,2,1.999474154523142,0.999737077261571
SPSA,8,2,0.0007029505170947,68.60591387748718,2,2,1.9992970494829048,0.9996485247414526
SPSA,16,2,0.0010480423069629,94.14037251472472,2,2,1.998951957693037,0.9994759788465184
SPSA,1,2,0.0283048409755836,37.30608344078064,3,2,1.9716951590244165,0.985847579512208
SPSA,2,2,0.000426836503717,38.87444996833801,3,2,1.999573163496283,0.9997865817481416
SPSA,4,2,0.001534131862059,48.372387409210205,3,2,1.998465868137941,0.9992329340689704
SPSA,8,2,0.0007293335680705,65.84298348426819,3,2,1.9992706664319293,0.9996353332159648
SPSA,16,2,0.0021351427195135,89.88508152961731,3,2,1.9978648572804865,0.9989324286402432
SPSA,1,2,1.844934168325485e-05,38.220314264297485,4,2,1.9999815506583167,0.9999907753291584
SPSA,2,2,0.0002277670406519,39.01487064361572,4,2,1.999772232959348,0.999886116479674
SPSA,4,2,2.470925894446085e-05,48.74984812736511,4,2,1.9999752907410555,0.9999876453705278
SPSA,8,2,0.0013672100528937,65.14280414581299,4,2,1.9986327899471064,0.9993163949735532
SPSA,16,2,0.0029498699323855,88.85179591178894,4,2,1.9970501300676144,0.9985250650338072
SPSA,1,2,0.4077577969789128,18.138872623443604,5,2,1.5922422030210872,0.7961211015105436
SPSA,2,2,0.000333725376902,36.66347408294678,5,2,1.999666274623098,0.999833137311549
SPSA,4,2,0.002377230850142,40.927525758743286,5,2,1.997622769149858,0.998811384574929
SPSA,8,2,0.0027520196801877,58.19731044769287,5,2,1.997247980319812,0.998623990159906
SPSA,16,2,0.0033945647117209,82.4266209602356,5,2,1.9966054352882792,0.9983027176441396
SPSA,1,2,0.5000734954612133,20.050185680389404,6,2,1.4999265045387866,0.7499632522693933
SPSA,2,2,0.0002371468213507,42.30691170692444,6,2,1.999762853178649,0.9998814265893246
SPSA,4,2,0.0004252634819192,48.29716062545776,6,2,1.9995747365180807,0.9997873682590404
SPSA,8,2,0.0003146207176573,69.51620388031006,6,2,1.9996853792823424,0.9998426896411712
SPSA,16,2,0.0039787984972978,94.5626220703125,6,2,1.996021201502702,0.9980106007513512
SPSA,1,2,0.4077577945831411,17.554174423217773,7,2,1.5922422054168588,0.7961211027084294
SPSA,2,2,0.0003291662087316,36.455628395080566,7,2,1.9996708337912683,0.9998354168956342
SPSA,4,2,6.638271075454227e-05,39.408135414123535,7,2,1.9999336172892452,0.9999668086446228
SPSA,8,2,0.0003302133629033,55.35596799850464,7,2,1.9996697866370967,0.9998348933185484
SPSA,16,2,0.0206893817119541,77.77258014678955,7,2,1.9793106182880456,0.9896553091440228
SPSA,1,2,0.4077578019400728,14.930520057678224,8,2,1.5922421980599273,0.7961210990299636
