optimizer,p,m,energy_Hc,success_prob,time_sec,trial,C_max,C_qaoa,approx_ratio
COBYLA,1,10,1.152864459251746,0.2587890625,3.926336288452149,0,10,8.847135540748255,0.8847135540748254
COBYLA,2,10,0.1444482070732369,0.8828125,14.041340112686155,0,10,9.855551792926763,0.9855551792926762
COBYLA,4,10,0.0216138025151393,0.982421875,463.67675948143005,0,10,9.97838619748486,0.9978386197484861
COBYLA,8,10,0.0059423743421112,0.9970703125,645.6673727035522,0,10,9.99405762565789,0.999405762565789
COBYLA,16,10,0.0021053194317664,0.9990234375,1065.3237135410309,0,10,9.997894680568233,0.9997894680568233
COBYLA,1,10,1.2441131106437116,0.2685546875,1.341867208480835,1,10,8.755886889356288,0.8755886889356288
COBYLA,2,10,0.0541752172244262,0.9609375,12.029707670211792,1,10,9.945824782775574,0.9945824782775574
COBYLA,4,10,0.0070561532589907,0.990234375,294.2715575695038,1,10,9.99294384674101,0.999294384674101
COBYLA,8,10,0.0018467632201863,0.9990234375,637.7404446601868,1,10,9.998153236779814,0.9998153236779814
COBYLA,16,10,0.0009520869571269,1.0,1035.3805191516876,1,10,9.999047913042872,0.9999047913042872
COBYLA,1,10,0.2217343720561552,0.822265625,1.550917625427246,2,10,9.778265627943846,0.9778265627943845
COBYLA,2,10,0.0845842171462261,0.9306640625,10.27739930152893,2,10,9.915415782853774,0.9915415782853774
COBYLA,4,10,0.0106191979612387,0.9912109375,134.97715020179749,2,10,9.989380802038761,0.9989380802038761
COBYLA,8,10,0.0040287635332246,0.9990234375,693.7242715358734,2,10,9.995971236466776,0.9995971236466776
COBYLA,16,10,0.0012127713336187,1.0,1104.4052698612213,2,10,9.998787228666382,0.9998787228666381
COBYLA,1,10,1.2354950593581704,0.212890625,1.1785361766815186,3,10,8.76450494064183,0.876450494064183
COBYLA,2,10,0.2218010058885174,0.8046875,8.481646537780762,3,10,9.778198994111483,0.9778198994111482
COBYLA,4,10,0.0477577958562746,0.9697265625,55.23440361022949,3,10,9.952242204143726,0.9952242204143726
COBYLA,8,10,0.00778474170408,0.9912109375,636.6260809898376,3,10,9.99221525829592,0.999221525829592
