optimizer,p,m,energy_Hc,success_prob,time_sec,trial,C_max,C_qaoa,approx_ratio
SPSA,1,10,1.045456629794521,0.3505859375,90.27402472496033,0,10,8.95454337020548,0.895454337020548
SPSA,2,10,0.14818069840639578,0.8935546875,108.12207961082458,0,10,9.851819301593604,0.9851819301593604
SPSA,4,10,0.10414630591495262,0.9033203125,150.07586884498596,0,10,9.895853694085048,0.9895853694085048
SPSA,8,10,0.0367981220001655,0.9560546875,233.70559883117676,0,10,9.963201877999834,0.9963201877999834
SPSA,16,10,0.05432619490976862,0.9580078125,387.4535448551178,0,10,9.945673805090232,0.9945673805090232
SPSA,1,10,1.1681027222490723,0.2900390625,77.82645845413208,1,10,8.831897277750928,0.8831897277750927
SPSA,2,10,0.2732954157616727,0.802734375,94.2843279838562,1,10,9.726704584238327,0.9726704584238327
SPSA,4,10,0.07627748965985454,0.939453125,130.76435947418213,1,10,9.923722510340145,0.9923722510340145
SPSA,8,10,0.055423634539167155,0.966796875,203.30390882492065,1,10,9.944576365460833,0.9944576365460833
SPSA,16,10,0.13452474671739847,0.888671875,343.88458275794983,1,10,9.865475253282602,0.9865475253282602
SPSA,1,10,0.8595663361468082,0.4365234375,81.92317414283752,2,10,9.140433663853191,0.9140433663853191
SPSA,2,10,0.7843667382608197,0.4765625,102.56945729255676,2,10,9.21563326173918,0.921563326173918
SPSA,4,10,0.1264180726724463,0.8984375,132.61313796043396,2,10,9.873581927327553,0.9873581927327553
SPSA,8,10,0.1138538658615414,0.904296875,207.17949390411377,2,10,9.886146134138459,0.9886146134138458
SPSA,16,10,0.10297174188815934,0.91796875,346.51065492630005,2,10,9.89702825811184,0.989702825811184
SPSA,1,10,1.1310995996640807,0.2626953125,75.46819353103638,3,10,8.868900400335919,0.886890040033592
SPSA,2,10,1.1286868322117156,0.2001953125,89.62873983383179,3,10,8.871313167788283,0.8871313167788284
SPSA,4,10,0.9997934915544386,0.2861328125,124.13613963127136,3,10,9.000206508445562,0.9000206508445562
SPSA,8,10,0.050672773591912176,0.96484375,193.89095759391785,3,10,9.949327226408087,0.9949327226408087
SPSA,16,10,0.08697640704840269,0.9287109375,327.9018201828003,3,10,9.913023592951598,0.9913023592951598
SPSA,1,10,0.889197030540734,0.2978515625,67.67281532287598,4,10,9.110802969459266,0.9110802969459266
SPSA,2,10,0.06914865332780887,0.939453125,81.36891436576843,4,10,9.930851346672192,0.9930851346672191
SPSA,4,10,0.04973179719345497,0.9560546875,106.86812281608582,4,10,9.950268202806544,0.9950268202806545
SPSA,8,10,0.07102259990492825,0.951171875,167.40935468673706,4,10,9.928977400095071,0.9928977400095071
SPSA,16,10,0.05549298822165216,0.953125,276.33298420906067,4,10,9.944507011778349,0.9944507011778349
SPSA,1,10,0.9664959731458758,0.3271484375,73.03342199325562,5,10,9.033504026854125,0.9033504026854124
