alpha,n=6,n=10,n=16
0.1,1.0,1.0,1.0
0.4413793103448276,1.0,1.0,1.0
0.7827586206896552,1.0,1.0,1.0
1.124137931034483,1.0,1.0,1.0
1.4655172413793105,1.0,1.0,1.0
1.806896551724138,1.0,1.0,1.0
2.148275862068966,0.99999,0.99999,1.0
2.4896551724137934,0.99965,0.99992,0.99999
2.831034482758621,0.99666,0.99789,0.9996
3.1724137931034484,0.97411,0.9901,0.99617
3.513793103448276,0.93183,0.95384,0.96898
3.855172413793104,0.85743,0.8953,0.90261
4.196551724137931,0.7632,0.80391,0.7492
4.537931034482758,0.65108,0.64671,0.58711
4.879310344827586,0.53746,0.52544,0.3917
5.220689655172413,0.42745,0.37246,0.2587
5.562068965517241,0.33032,0.27724,0.1626
5.903448275862069,0.25141,0.18044,0.08842
6.244827586206896,0.1859,0.12791,0.0503
6.586206896551724,0.13608,0.0898,0.02548
6.927586206896551,0.09808,0.05447,0.01344
7.268965517241379,0.0696,0.03554,0.00685
7.610344827586207,0.04747,0.0215,0.00358
7.951724137931034,0.03335,0.01395,0.00183
8.293103448275863,0.02238,0.00949,0.00085
8.63448275862069,0.01543,0.00535,0.00044
8.975862068965517,0.01031,0.00371,0.00023
9.317241379310344,0.00699,0.00186,7e-05
9.658620689655173,0.00465,0.00129,7e-05
10.0,0.00216,0.00057,1e-05
